elainaregis@iiitd.ac.in,Elaina Regis,1-3 Junction St; Carlisle; Cumbria CA2; India,9951354542,Computer Science,Information Security,Data Processing,Mobile Computing,Male,General,No,1985-11-30,No,Brady Regis,Indian,1-3 Junction St; Carlisle; Cumbria CA2; UK,110119,CBSE,75,2001,CBSE,96,2003,B.Tech,Computer Science,IIT-Delhi,IIT,New Delhi,Delhi,2007,90.0,No,Information Security,Data Processing,Mobile Computing,,Yes,M.Tech,Computer Science,IIT-Delhi,Random Title,New Delhi,Delhi,2009,84.0,No,,,,,,Yes,Computer Science And IT,2007,92,966,1111,MTA Certification,2015-02-18,PHD1000
berniesebree@iiitd.ac.in,Bernie Sebree,23 Willerby Ct; Gateshead; Tyne and Wear NE9 7JF; India,9911022043,Electronics and Communication,VLSI,Distributed Systems,Embedded System,Female,SC,No,1986-04-14,No,Lou Sebree,Indian,23 Willerby Ct; Gateshead; Tyne and Wear NE9 7JF; UK,110018,CBSE,71,2002,CBSE,74,2004,B.Tech,Electronics and Communication,IIIT-Hyderabad,IIIT-Hyderabad,Hyderabad,Andhra Pradesh,2008,75,Yes,VLSI,Distributed Systems,Embedded System,,Yes,M.Tech,Electronics and Communication,IIIT-Hyderabad,Random Title,Hyderabad,Andhra Pradesh,2010,74,No,,,,,,Yes,Electronics and Communication,2008,88,924,1818,,2015-07-26,PHD1001
cynthiawhalley@iiitd.ac.in,Cynthia Whalley,1 Sycamore Grove; Knowbury; Ludlow; Shropshire SY8 3JW; India,9823807309,Computational Biology,Image Processing,Data Processing,Molecular Biology,Male,General,No,1986-05-09,No,Son Whalley,Indian,1 Sycamore Grove; Knowbury; Ludlow; Shropshire SY8 3JW; UK,167801,CBSE,78,2002,CBSE,70,2004,B.Tech,Computer Science,Delhi Technological University,Delhi Technological University,New Delhi,Delhi,2008,84.0,No,Image Processing,Data Processing,Molecular Biology,,Yes,M.Tech,Computer Science,Delhi Technological University,Random Title,New Delhi,Delhi,2010,70,No,,,,,,Yes,Computer Science And IT,2008,74,777,6464,,2015-04-24,PHD1002
marquettapernell@iiitd.ac.in,Marquetta Pernell,78 Church Ln; Newington; Sittingbourne; Kent ME9 7JU; India,9421463053,Computer Science,Mobile Computing,,,Male,ST,No,1986-07-08,Yes,Rosendo Pernell,Indian,78 Church Ln; Newington; Sittingbourne; Kent ME9 7JU; UK,961386,ICSE,85,2002,ICSE,92,2004,B.Tech,Information Technology,IT - BHU,IT - BHU,Varanasi,Uttar Pradesh,2008,78.0,No,Mobile Computing,Network Security,Data Analytics,Wireless Network,No,,,,,,,,,No,,,,,,Yes,Computer Science And IT,2008,76,798,5656,,2015-05-11,PHD1003
guadalupebasch@iiitd.ac.in,Guadalupe Basch,Mayles Ln; Wickham; Fareham; Hampshire PO17 5NH; India,9938529679,Electronics and Communication,Compilers,VLSI,Embedded System,Male,General,No,1987-09-08,No,Orville Basch,Indian,Mayles Ln; Wickham; Fareham; Hampshire PO17 5NH; UK,750384,CBSE,75,2003,CBSE,74,2005,B.Tech,Electronics and Communication,VJTI,VJTI,Mumbai,Maharashtra,2009,72.0,Yes,Compilers,VLSI,Embedded System,,Yes,M.Tech,Electronics and Communication,VJTI,Random Title,Mumbai,Maharashtra,2011,74,No,,,,,,Yes,Computer Science And IT,2009,82,861,3939,,2015-08-28,PHD1004
cristobalmeinecke@iiitd.ac.in,Cristobal Meinecke,71 Brenthouse Rd; London E9 6QD; India,9975933393,Computational Biology,BioSimulations,,,Male,General,No,1987-09-23,No,Clayton Meinecke,Saudi,71 Brenthouse Rd; London E9 6QD; UK,873451,CBSE,96,2003,CBSE,84,2005,B.Tech,Computer Science,Motilal Nehru National Institute of Technology,Motilal Nehru National Institute of Technology,Allahabad,Uttar Pradesh,2009,72,No,BioSimulations,Molecular Biology,Cell Biology,,Yes,M.Tech,Computer Science,Motilal Nehru National Institute of Technology,Random Title,Allahabad,Uttar Pradesh,2011,84,No,,,,,,No,,2009,81,850,4343,,2015-03-08,PHD1005
leticiamasek@iiitd.ac.in,Leticia Masek,56 Rollesby Rd; Chessington; Greater London KT9 2BZ; India,7879417879,Computer Science,Information Security,,,Female,OBC,No,1988-04-16,No,Rolland Masek,Indian,56 Rollesby Rd; Chessington; Greater London KT9 2BZ; UK,238341,CBSE,82,2004,CBSE,84,2006,B.Tech,Computer Science,MANIT,MANIT,Bhopal,Madhya Pradesh,2010,80,No,Information Security,Mobile Computing,Image Analysis,,Yes,M.Tech,Computer Science,MANIT,Random Title,Bhopal,Madhya Pradesh,2012,84,No,,,,,,No,,2010,79,829,4747,MCP Certification,2015-02-01,PHD1006
theresiahemond@iiitd.ac.in,Theresia Hemond,8 Bowman Ct; Pocklington; York; East Riding of Yorkshire YO42 2FG; India,9540474455,Electronics and Communication,VLSI,Embedded Systems,,Male,General,No,1988-04-27,No,Hassan Hemond,Indian,8 Bowman Ct; Pocklington; York; East Riding of Yorkshire YO42 2FG; UK,354367,ICSE,76,2004,ICSE,75,2006,B.Tech,Electronics and Communication,IIT-Kharagpur,IIT,Kharagpur,West Bengal,2010,77,Yes,VLSI,Embedded Systems,Wireless Network,,Yes,M.Tech,Electronics and Communication,IIT-Kharagpur,Random Title,Kharagpur,West Bengal,2012,75,No,,,,,,No,,2010,81,850,4343,,2015-02-01,PHD1007
tereasamahler@iiitd.ac.in,Tereasa Mahler,88 The Uplands; Rogerstone; Newport; Newport NP10 9FE; India,9312237451,Computational Biology,Image Processing,Mathematical Biology,,Female,General,Yes,1988-07-28,No,Carlos Mahler,French,88 The Uplands; Rogerstone; Newport; Newport NP10 9FE; UK,701129,CBSE,96,2004,CBSE,86,2006,B.Tech,Computer Science,College of Engineering,Savitribai Phule Pune University ,Pune,Maharashtra,2010,69,No,Image Processing,Mathematical Biology,BioSimulations,,Yes,M.Tech,Computer Science,College of Engineering,Random Title,Pune,Maharashtra,2012,86,No,,,,,,No,,2010,83,871,3535,,2015-01-13,PHD1008
oliviatew@iiitd.ac.in,Olivia Tew,12A The Mews; Brixworth; Northampton; Northamptonshire NN6 9AS; India,8652494041,Computer Science,Mobile Computing,Data Processing,Mobile Computing,Male,General,No,1988-08-03,No,George Tew,Indian,12A The Mews; Brixworth; Northampton; Northamptonshire NN6 9AS; UK,153507,State Board,79,2004,State Board,86,2006,B.Tech,Computer Science,PSG College of Technology,Anna University,Coimbatore,Tamil Nadu,2010,84,No,Mobile Computing,Data Processing,Mobile Computing,,Yes,M.Tech,Computer Science,PSG College of Technology,Random Title,Coimbatore,Tamil Nadu,2012,86,No,,,,,,No,,2010,95,997,101,,2015-05-29,PHD1009
